sn,amusing_name,ra,dec,z,seeing,sample,PISCO,P95,P96,P97,P98,P99,Other,MaNGA,HexPak,Swsp,csp1,csp2,phot,ST,Sterr,COL,COLerr,Bmag,Bmagerr,othername
SN2006D,SN2006D,12:52:33.87,-09:46:30.8,0.008529,2.43,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.818,0.006,0.088,0.013,14.142,0.022,NaN
SN2007al,SN2007al,09:59:18.48,-19:28:25.8,0.012122,1.71,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.664,0.043,0.846,0.018,17.45,0.037,NaN
SN2007S,SN2007S,10:00:31.26,+04:24:26.2,0.01388,1.45,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.115,0.008,0.376,0.017,15.819,0.013,NaN
SN2004ey,SN2004ey,21:49:07.81,+00:26:39.2,0.014627,1.92,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.006,0.005,-0.089,0.018,14.713,0.055,NaN
SN2008bc,SN2008bc,09:38:31.23,-63:58:25.6,0.015707,1.54,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.038,0.006,-0.065,0.013,14.599,0.107,NaN
SN2006ef,SN2006ef,02:04:19.51,-08:43:42.2,0.017006,1.54,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.849,0.011,-0.108,0.037,15.52,0.017,NaN
SN2013bz,SN2013bz,13:26:51.32,-10:01:32.2,0.019163,1.05,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,SNhunt188/PSNJ13265132-1001322
SN2008ff,SN2008ff,20:13:59.96,-44:21:07.8,0.0192,0.98,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2006ej,SN2006ej,00:38:59.77,-09:00:56.6,0.019333,2.18,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.841,0.011,-0.047,0.025,15.721,0.022,NaN
SN2014cd,SN2014cd,04:23:47.19,-51:36:02.9,0.020608,1.5,P95,0,1,0,0,0,0,0,0,0,0,0,0,1,1.202,0.061,0.136,0.085,15.485,0.143,PSNJ04234719-5136029
SN2007bc,SN2007bc,11:19:16.627,+20:48:32.5,0.02077,1.24,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.894,0.01,0.01,0.021,15.896,0.017,2MASSJ11191662+2048487
SN2006et,SN2006et,00:42:45.82,-23:33:30.4,0.021178,0.76,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.065,0.007,0.154,0.017,15.951,0.012,NaN
CSP14abn,CSP14abn,13:56:04.19,-43:35:09.90,0.0225,2.14,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,PSNJ13560419-4335099
SN2005M,SN2005M,09:37:32.76,+23:12:02.7,0.022972,2.47,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.138,0.004,-0.016,0.013,15.897,0.015,NaN
SN2005bg,SN2005bg,12:17:17.23,+16:22:17.6,0.024159,1.16,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.044,0.021,0.031,0.017,15.799,0.019,2MASSJ12171723+1622174
SN2006br,SN2006br,13:30:01.80,+13:24:56.8,0.02459,1.29,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.88,0.028,0.805,0.032,18.896,0.029,NaN
SN2012G,SN2012G,12:39:35.10,+16:35:11.9,0.025,1.57,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,MASTEROTJ123935.11+163512.4/MASTERPGC042367
SN2009D,SN2009D,03:54:22.83,-19:10:54.2,0.025007,1.31,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.053,0.022,-0.028,0.015,15.702,0.032,NaN
SN2009I,SN2009I,02:45:10.40,-04:42:49.4,0.0262,1.59,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2005na,SN2005na,07:01:36.62,+14:07:59.7,0.026815,1.46,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.974,0.009,-0.122,0.025,15.986,0.034,NaN
SN2009aa,SN2009aa,11:23:42.28,-22:16:14.5,0.02731,0.87,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2004gs,SN2004gs,08:38:23.28,+17:37:39.8,0.027498,10.43,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.757,0.007,0.225,0.018,17.166,0.016,2MASSJ08382385+1737528
SN2011jt,SN2011jt,14:53:23.01,+02:57:43.1,0.0278,0.93,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,PSNJ14532301+0257431/CSS111231:145323+025743
SN2007so,SN2007so,02:47:43.13,+13:15:14.8,0.0297,2.13,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2004ef,SN2004ef,22:42:10.53,+19:59:40.4,0.029771,2.3,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.855,0.003,0.339,0.018,17.041,0.024,2MASSJ22421053+1959489
SN2012E,SN2012E,02:33:22.79,+09:35:05.6,0.03,1.48,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,PSNJ02332279+0935056
SN2005lu,SN2005lu,02:36:03.71,-17:15:50.0,0.031293,4.52,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.122,0.019,-0.013,0.054,17.252,0.059,NaN
SN2006is,SN2006is,05:17:34.37,-23:46:54.2,0.031421,1.38,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.182,0.02,-0.012,0.03,16.107,0.036,NaN
SN2006os,SN2006os,02:55:01.01,+16:00:34.8,0.032081,4.55,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.947,0.016,0.297,0.026,17.553,0.06,NaN
SN2006bt,SN2006bt,15:56:33.81,+20:02:45.3,0.032156,2.28,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.005,0.01,0.13,0.025,16.935,0.022,NaN
SN2014at,SN2014at,21:46:14.82,-46:31:21.1,0.032912,1.55,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,1.206,0.112,-0.01,0.028,16.467,0.035,PSNJ21461482-4631211
SN2007cg,SN2007cg,13:25:33.58,-24:39:08.1,0.033196,2.11,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.924,0.043,0.686,0.025,18.182,0.078,NaN
SN2013fy,SN2013fy,21:37:27.13,-47:01:54.80,0.034131,1.62,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,PSNJ21372712-4701548
SN2005be,SN2005be,14:59:32.72,+16:40:11.6,0.035001,1.4,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.803,0.016,-0.028,0.034,16.777,0.041,NaN
CSP14aaq,CSP14aaq,06:13:48.04,-67:55:15.00,0.0359,1.98,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,OGLE-2014-SN-019
LSQ12cfx,LSQ12cfx,13:59:40.96,-25:22:50.98,0.037178,0.93,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,CSS120419:143825+175814
SN2013az,SN2013az,05:39:52.13,-40:30:28.1,0.037279,1.16,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,SNhunt177/PSNJ05395213-4030281
SN2008hj,SN2008hj,00:04:01.91,-11:10:07.5,0.03789,2.07,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.967,0.04,-0.074,0.026,16.727,0.029,NaN
SN2007ba,SN2007ba,15:16:41.814,+07:23:47.8,0.038513,1.52,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.656,0.009,0.3,0.023,17.761,0.018,2MASSJ15164181+0723489
CSP13abl,CSP13abl,06:38:06.97,-75:43:37.21,0.0404,1.94,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,OGLE-2013-SN-148
CSP14aar,CSP14aar,05:48:23.49,-66:47:29.70,0.0422,1.95,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,OGLE-2014-SN-021
LSQ13dsm,LSQ13dsm,03:33:12.83,-26:12:24.02,0.042511,1.66,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2013ao,SN2013ao,11:44:44.74,-20:31:41.1,0.043121,1.24,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,1.072,0.007,0.16,0.015,16.85,0.016,CSS130315:114445-203140/SSS130304:114445-203141
SN2006hx,SN2006hx,01:13:57.31,+00:22:18.0,0.044404,1.32,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.953,0.014,-0.072,0.033,17.481,0.026,SDSS-IISN14279/2MASSJ01135719+0022172
SN2006gt,SN2006gt,00:56:17.30,-01:37:46.0,0.044771,2,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.674,0.014,0.172,0.03,18.2,0.018,NaN
SN2005hc,SN2005hc,01:56:47.976,-00:12:49.4,0.044983,1.28,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.064,0.01,0.223,0.018,17.326,0.021,NaN
SN2005ku,SN2005ku,22:59:42.65,+00:00:49.3,0.045248,1.3,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.958,0.024,0.129,0.029,17.566,0.027,SDSS-IISN10805
SN2008cf,SN2008cf,14:07:32.56,-26:33:06.6,0.046029,1.57,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.111,0.042,-0.088,0.021,16.998,0.032,NaN
SN2006eq,SN2006eq,21:28:37.13,+01:13:41.5,0.048358,1.25,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.721,0.013,0.251,0.034,18.472,0.037,SDSS-IISN12780
LSQ14ahc,LSQ14ahc,13:43:48.16,-32:54:36.7,0.05,0.95,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2006ot,SN2006ot,02:15:04.84,-20:45:58.2,0.05294,1.67,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.052,0.018,0.116,0.024,18.007,0.016,NaN
SN2006lu,SN2006lu,09:15:17.63,-25:36:00.3,0.053177,0.87,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.025,0.016,-0.071,0.023,17.472,0.053,NaN
SN2007ol,SN2007ol,01:37:23.78,-00:18:43.2,0.056161,1.57,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.833,0.01,-0.001,0.009,18,0.014,SDSS-IISN19968
SN2005hj,SN2005hj,01:26:48.40,-01:14:16.8,0.056948,1.44,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,1.147,0.017,0.206,0.018,17.755,0.019,SDSS-IISN6558
LSQ14bbv,LSQ14bbv,19:59:33.12,-56:59:27.84,0.057,1.21,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2006py,SN2006py,22:41:42.04,-00:08:12.9,0.058357,1.77,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.993,0.026,-0.029,0.02,17.878,0.027,SDSS-IISN14318/2MASSJ22414204-0008134
SN2008go,SN2008go,22:10:44.83,-20:47:17.2,0.059,1.34,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2006ob,SN2006ob,01:51:48.505,+00:15:48.3,0.059238,1.62,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.762,0.012,0.199,0.02,18.246,0.018,SDSS-IISN16392/2MASSJ01514850+0015499
CSP13aaq,CSP13aaq,04:19:47.21,-63:43:22.04,0.0598,1.68,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,OGLE-2013-SN-126
CSP13aao,CSP13aao,05:58:30.38,-63:33:38.30,0.0614,1.3,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,OGLE-2013-SN-123
SN2005gj,SN2005gj,03:01:11.96,-00:33:13.9,0.0616,1.12,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LSQ12agq,LSQ12agq,10:17:41.65,-07:24:54.4,0.064,1.25,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,1.035,0.014,0.098,0.024,18.493,0.021,NaN
PS1-14rx,PS1-14rx,12:46:53.35,+14:47:50.1,0.066585,3.03,P95,0,1,0,0,0,0,0,0,0,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN2013as,SN2013as,11:52:52.34,-18:59:19.9,0.068566,0.91,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,CSS130315:115252-185920
SN2007mm,SN2007mm,01:05:46.67,-00:45:31.8,0.068921,0.9,P95,0,1,0,0,0,0,0,0,0,0,1,0,1,0.677,0.01,0.468,0.03,19.767,0.021,SDSS-IISN18890
LSQ12hxx,LSQ12hxx,03:19:44.23,-27:00:25.6,0.069,1.88,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,1.041,0.02,0.022,0.007,18.194,0.009,NaN
LSQ13dkp,LSQ13dkp,03:10:09.97,-36:37:44.9,0.07,1.57,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LSQ12hvj,LSQ12hvj,11:07:38.63,-29:42:41.1,0.071,0.93,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,1.069,0.014,0.068,0.007,18.399,0.019,NaN
LSQ12hzs,LSQ12hzs,04:01:53.19,-26:39:50.3,0.072,1.37,P95,0,1,0,0,0,0,0,0,0,0,0,1,1,1.012,0.012,0.105,0.006,18.799,0.011,NaN
